Del_MAP	psi	nC_MAP	p_MAP
1.74	0.001	8	0.0260792837486434
1.75	0.001	8	0.0260541471439481
1.76	0.001	8	0.0260290308066202
1.77	0.001	8	0.026003934724647
1.78	0.001	8	0.0259788588860183
1.79	0.001	8	0.0259538032787264
1.8	0.001	8	0.0259287678907668
1.81	0.001	8	0.0259037527101372
1.82	0.001	8	0.0258787577248384
1.83	0.001	8	0.0258537829228737
1.84	0.001	8	0.0258288282922493
1.85	0.001	8	0.025803893820974
1.86	0.001	8	0.0257789794970593
1.87	0.001	8	0.0257540853085197
1.88	0.001	8	0.025729211243372
1.89	0.001	8	0.0257043572896362
1.9	0.001	8	0.0256795234353349
1.91	0.001	8	0.0256547096684932
1.92	0.001	8	0.0256299159771394
1.93	0.001	8	0.0256051423493042
1.94	0.001	8	0.0255803887730212
1.95	0.001	8	0.0255556552363269
1.96	0.001	8	0.0255309417272603
1.97	0.001	8	0.0255062482338635
1.98	0.001	8	0.025481574744181
1.99	0.001	8	0.0254569212462605
2	0.001	8	0.0254322877281522
2.01	0.001	8	0.0254076741779093
2.02	0.001	8	0.0253830805835875
2.03	0.001	8	0.0253585069332456
2.04	0.001	8	0.025333953214945
2.05	0.001	8	0.0253094194167502
2.06	0.001	8	0.0252849055267282
2.07	0.001	8	0.0252604115329489
2.08	0.001	8	0.0252359374234852
2.09	0.001	8	0.0252114831864126
2.1	0.001	8	0.0251870488098095
2.11	0.001	8	0.0251626342817572
2.12	0.001	8	0.0251382395903398
2.13	0.001	8	0.0251138647236442
2.14	0.001	8	0.0250895096697601
2.15	0.001	8	0.0250651744167804
2.16	0.001	8	0.0250408589528003
2.17	0.001	8	0.0250165632659182
2.18	0.001	8	0.0249922873442354
2.19	0.001	8	0.0249680311758559
2.2	0.001	8	0.0249437947488866
2.21	0.001	8	0.0249195780514374
2.22	0.001	8	0.0248953810716209
2.23	0.001	8	0.0248712037975527
2.24	0.001	8	0.0248470462173512
2.25	0.001	8	0.0248229083191378
2.26	0.001	8	0.0247987900910367
2.27	0.001	8	0.024774691521175
2.28	0.001	8	0.0247506125976828
2.29	0.001	8	0.0247265533086929
2.3	0.001	8	0.0247025136423412
2.31	0.001	8	0.0246784935867663
2.32	0.001	8	0.0246544931301101
2.33	0.001	8	0.0246305122605171
2.34	0.001	8	0.0246065509661346
2.35	0.001	8	0.0245826092351132
2.36	0.001	8	0.0245586870556062
2.37	0.001	8	0.0245347844157699
2.38	0.001	8	0.0245109013037635
2.39	0.001	8	0.0244870377077492
2.4	0.001	8	0.0244631936158919
2.41	0.001	8	0.0244393690163599
