Del_APP	delta0	nC_APP	p_APP
0.64	0	9	0.0255853162891463
0.65	0	9	0.0255588712028502
0.66	0	9	0.0255329859583924
0.67	0	9	0.0255071224772381
0.68	0	9	0.0254812807487678
0.69	0	9	0.025464245980913
0.7	0	9	0.0254728293013088
0.71	0	9	0.0254814161373994
0.72	0	9	0.0254900064837523
0.73	0	9	0.0254986003349225
0.74	0	9	0.0254861299264874
0.75	0	9	0.025460121406437
0.76	0	9	0.0254341330936004
0.77	0	9	0.0254081649808274
0.78	0	9	0.0253822170609582
0.79	0	9	0.0253562893268236
0.8	0	9	0.0253303817712447
0.81	0	9	0.0253048114106347
0.82	0	9	0.0252794397133481
0.83	0	9	0.0252541608493958
0.84	0	9	0.0252289032649811
0.85	0	9	0.0252036650003783
0.86	0	9	0.0251784460486909
0.87	0	9	0.0251532464030134
0.88	0	9	0.0251280660564315
0.89	0	9	0.025116394980963
0.9	0	9	0.0251124639605506
0.91	0	9	0.0251086926949496
0.92	0	9	0.0251049106127586
0.93	0	9	0.0251011177169497
0.94	0	9	0.0250973140105145
0.95	0	9	0.0250786533105947
0.96	0	9	0.0250565230632935
0.97	0	9	0.0250416915048673
0.98	0	9	0.0250345235378063
0.99	0	9	0.0250273462891093
1	0	9	0.025020159766743
1.01	0	9	0.0250129639786891
1.02	0	9	0.0249866519542449
1.03	0	9	0.0249601873019599
1.04	0	9	0.0249337451424188
1.05	0	9	0.0249073254637437
1.06	0	9	0.0248809282540537
1.07	0	9	0.0248545535014649
1.08	0	9	0.0248282011940902
1.09	0	9	0.0248018713200397
1.1	0	9	0.0247755638674203
1.11	0	9	0.024749278824336
1.12	0	9	0.0247230161788877
1.13	0	9	0.0246967759191735
1.14	0	9	0.0246705580332885
1.15	0	9	0.0246443625093248
1.16	0	9	0.0246181893353717
1.17	0	9	0.0245920384995154
1.18	0	9	0.0245659099898396
1.19	0	9	0.0245419769381787
1.2	0	9	0.0245196473441338
1.21	0	9	0.0244973550119008
1.22	0	9	0.0244952419976804
1.23	0	9	0.0245018674333435
1.24	0	9	0.024508498434156
1.25	0	9	0.0245151350023488
1.26	0	9	0.0244987445923233
1.27	0	9	0.024472671921083
1.28	0	9	0.0244466215927889
1.29	0	9	0.0244205935953689
1.3	0	9	0.0243945879167486
1.31	0	9	0.024368604544851
1.32	0	9	0.0243426434675964
1.33	0	9	0.0243167046729027
1.34	0	9	0.024290788148685
1.35	0	9	0.0242648938828562
1.36	0	9	0.0242390218633266
1.37	0	9	0.0242131720780039
1.38	0	9	0.0241878146740764
1.39	0	9	0.0241625169528369
1.4	0	9	0.0241372408582576
1.41	0	9	0.0241348543016869
1.42	0	9	0.0241325771670016
1.43	0	9	0.024130685130687
1.44	0	9	0.0241287826583934
1.45	0	9	0.0241268697498074
1.46	0	9	0.0241249464046345
1.47	0	9	0.0241230126225993
1.48	0	9	0.0241210684034453
1.49	0	9	0.0241191137469351
1.5	0	9	0.0241172663102024
1.51	0	9	0.0241156769239294
1.52	0	9	0.0241140772503169
1.53	0	9	0.0241124672886916
1.54	0	9	0.0241108470383988
1.55	0	9	0.0241071353872503
1.56	0	9	0.0240822938728897
1.57	0	9	0.0240777029481282
1.58	0	9	0.0240841533780618
1.59	0	9	0.0240848439641322
1.6	0	9	0.0240623911132095
1.61	0	9	0.0240404870353037
1.62	0	9	0.0240187181607662
1.63	0	9	0.0239969684784723
1.64	0	9	0.0239763524736348
1.65	0	9	0.0239759856025367
1.66	0	9	0.0239756095408492
1.67	0	9	0.0239752242843415
1.68	0	9	0.0239732565156213
1.69	0	9	0.0239541113163453
1.7	0	9	0.0239352772404599
1.71	0	9	0.0239164598174635
1.72	0	9	0.0238976590351755
1.73	0	9	0.0238788748814222
1.74	0	9	0.0238601073440365
1.75	0	9	0.0238413564108585
1.76	0	9	0.0238226220697347
1.77	0	9	0.0238039043085184
1.78	0	9	0.0237908649343956
1.79	0	9	0.0237820916755507
1.8	0	9	0.0237565849518331
1.81	0	9	0.0237311007331003
1.82	0	9	0.0237092672271686
1.83	0	9	0.0236902190699089
